cpu_name,passmark_score,passmark_rank,passmark_value
AMD A8-7650K,3129,2391,82.35
AMD A8-7670K,3192,2368,12.84
AMD A8-7680,3544,2225,96.5
AMD A8-7690K,2157,2886,
AMD A8-8600P,2240,2836,
AMD A8-8650,2996,2446,
AMD A8-9600,3307,2320,29.4
AMD A9-9400,1329,3434,
AMD A9-9410,1523,3302,
AMD A9-9420,1498,3324,
AMD A9-9420e,1107,3639,
AMD A9-9425,1510,3313,
AMD A9-9430,1658,3196,
AMD A9-9820,3938,2104,
AMD Athlon 1500+,191,4727,
AMD Athlon 1640B,412,4414,8.23
AMD Athlon 200GE,4114,2061,33.2
AMD Athlon 220GE,4424,1985,36.23
AMD Athlon 240GE,4534,1956,46.14
AMD Athlon 2650e,274,4603,14.43
AMD Athlon 2800+,291,4577,2.65
AMD Athlon 2850e,333,4522,
AMD Athlon 3000G,4484,1970,49.82
AMD Athlon 300GE,4273,2022,
AMD Athlon 300U,3887,2121,
AMD Athlon 320GE,4399,1993,
AMD Athlon 5000 Dual-Core,872,3888,10.91
AMD Athlon 5150 APU,1388,3398,14.04
AMD Athlon 5200 Dual-Core,869,3892,16.4
AMD Athlon 5350 APU,1780,3130,12.04
AMD Athlon 5370 APU,1867,3064,3.12
AMD Athlon 64 2000+,154,4780,
AMD Athlon 64 2600+,243,4644,
AMD Athlon 64 2800+,295,4569,2.95
AMD Athlon 64 3000+,334,4520,16.68
AMD Athlon 64 3100+,484,4346,
AMD Athlon 64 3200+,305,4558,2.03
AMD Athlon 64 3300+,375,4464,
AMD Athlon 64 3400+,317,4539,3.17
AMD Athlon 64 3500+,377,4463,4.71
AMD Athlon 64 3700+,394,4443,4.38
AMD Athlon 64 3800+,292,4573,2.23
AMD Athlon 64 4000+,340,4504,3.4
AMD Athlon 64 FX-55,404,4427,6.22
AMD Athlon 64 FX-57,517,4313,
AMD Athlon 64 FX-59,465,4365,
AMD Athlon 64 FX-60 Dual Core,709,4078,
AMD Athlon 64 FX-62 Dual Core,993,3769,3.97
AMD Athlon 64 FX-74,972,3794,1.95
AMD Athlon 64 X2 3800+,566,4253,
AMD Athlon 64 X2 Dual Core 3400+,531,4297,
AMD Athlon 64 X2 Dual Core 3600+,633,4177,9.27
AMD Athlon 64 X2 Dual Core 3800+,629,4180,
AMD Athlon 64 X2 Dual Core 4000+,692,4102,
AMD Athlon 64 X2 Dual Core 4200+,728,4062,6.62
