cpu_name,passmark_score,passmark_rank,passmark_value
Apple A8X,2376,2754,
Apple A9,2068,2939,
Apple A9X,2516,2673,
Apple M1 8 Core 3200 MHz,14166,926,
Apple M1 Max 10 Core 3200 MHz,22065,561,
Apple M1 Pro 10 Core 3200 MHz,21864,569,
Apple M1 Pro 8 Core 3200 MHz,17179,770,
Apple M1 Ultra 20 Core,41176,194,
Apple M2 8 Core 3500 MHz,15529,846,
Apple M2 Max 12 Core 3680 MHz,26595,406,
Apple M2 Pro 10 Core 3480 MHz,21710,575,
Apple M2 Pro 12 Core 3480 MHz,26517,408,
Apple M2 Ultra 24 Core,50180,136,
Apple M3 8 Core,19304,675,
Apple M3 Max 14 Core,36473,230,
Apple M3 Max 16 Core,40836,197,
Apple M3 Pro 11 Core,24790,461,
Apple M3 Pro 12 Core,26662,403,
Apple M4 10 Core,25040,449,
Apple M4 9 Core,22364,550,
ARM - 32 Core 2911 MHz,8132,1343,
ARM - 32 Core 3300 MHz,8684,1275,
ARM - 8 Core 1766 MHz,4080,2072,
ARM - 8 Core 1800 MHz,3292,2326,
ARM - 8 Core 2208 MHz,2270,2814,
ARM - 8 Core 2424 MHz,8610,1284,
ARM ARMv7 rev 1 (v7l) 4 Core 1608 MHz,776,4000,
ARM ARMv7 rev 1 (v7l) 4 Core 1800 MHz,843,3924,
ARM ARMv7 rev 3 (v7l) 4 Core 2065 MHz,984,3778,
ARM ARMv7 rev 4 (v7l) 4 Core 1200 MHz,403,4430,
ARM ARMv7 rev 4 (v7l) 4 Core 1400 MHz,399,4439,
ARM ARMv7 rev 5 (v7l) 4 Core 1200 MHz,325,4533,
ARM ARMv8 rev 1 (v8l) 4 Core 1984 MHz,1312,3450,
ARM ARMv8 rev 1 (v8l) 6 Core 1510 MHz,2550,2653,
ARM Avalanche-M2 4 Core 2424 MHz,8233,1328,
ARM Cortex-A15 4 Core 1400 MHz,1141,3613,
ARM Cortex-A15 4 Core 1500 MHz,1304,3454,
ARM Cortex-A15 4 Core 2000 MHz,923,3840,
ARM Cortex-A15 8 Core 1400 MHz,1160,3596,
ARM Cortex-A17 4 Core 1800 MHz,781,3995,
ARM Cortex-A35 4 Core 1200 MHz,329,4530,
ARM Cortex-A35 4 Core 1296 MHz,334,4518,
ARM Cortex-A53 4 Core 1000 MHz,215,4687,
ARM Cortex-A53 4 Core 1008 MHz,310,4552,
ARM Cortex-A53 4 Core 1152 MHz,342,4498,
ARM Cortex-A53 4 Core 1199 MHz,407,4419,
ARM Cortex-A53 4 Core 1200 MHz,288,4581,
ARM Cortex-A53 4 Core 1296 MHz,416,4410,
ARM Cortex-A53 4 Core 1300 MHz,438,4383,
ARM Cortex-A53 4 Core 1333 MHz,207,4696,
ARM Cortex-A53 4 Core 1368 MHz,385,4456,
ARM Cortex-A53 4 Core 1392 MHz,417,4406,
ARM Cortex-A53 4 Core 1400 MHz,295,4570,
ARM Cortex-A53 4 Core 1500 MHz,340,4503,
ARM Cortex-A53 4 Core 1512 MHz,471,4356,
ARM Cortex-A53 4 Core 1536 MHz,213,4690,
ARM Cortex-A53 4 Core 1600 MHz,453,4376,
ARM Cortex-A53 4 Core 1608 MHz,462,4369,
ARM Cortex-A53 4 Core 1704 MHz,556,4269,
ARM Cortex-A53 4 Core 1800 MHz,513,4318,
ARM Cortex-A53 4 Core 1908 MHz,638,4169,
ARM Cortex-A53 4 Core 2016 MHz,500,4327,
ARM Cortex-A53 4 Core 600 MHz,220,4684,
ARM Cortex-A53 6 Core 1896 MHz,1851,3073,
ARM Cortex-A53 8 Core 1512 MHz,681,4120,
ARM Cortex-A55 4 Core 1416 MHz,460,4370,
ARM Cortex-A55 4 Core 1800 MHz,625,4185,
ARM Cortex-A55 4 Core 1908 MHz,707,4082,
ARM Cortex-A55 4 Core 1992 MHz,685,4114,
ARM Cortex-A55 4 Core 2016 MHz,755,4029,
ARM Cortex-A55 4 Core 2100 MHz,663,4143,
ARM Cortex-A55 4 Core 2124 MHz,742,4044,
ARM Cortex-A55 8 Core 1800 MHz,3013,2439,
ARM Cortex-A57 2 Core 1479 MHz,318,4537,
ARM Cortex-A57 4 Core 1479 MHz,951,3814,
ARM Cortex-A57 4 Core 1734 MHz,1170,3582,
ARM Cortex-A57 4 Core 1912 MHz,1007,3756,
ARM Cortex-A57 4 Core 2014 MHz,1229,3524,
ARM Cortex-A57 4 Core 2091 MHz,1170,3583,
ARM Cortex-A57 8 Core 1500 MHz,1022,3734,
ARM Cortex-A57 8 Core 1766 MHz,3766,2157,
ARM Cortex-A7 2 Core 1080 MHz,142,4795,
ARM Cortex-A7 2 Core 960 MHz,111,4834,
ARM Cortex-A7 2 Core 996 MHz,138,4801,
ARM Cortex-A7 4 Core 1000 MHz,278,4596,
ARM Cortex-A7 4 Core 1008 MHz,269,4607,
ARM Cortex-A7 4 Core 1200 MHz,262,4618,
ARM Cortex-A7 4 Core 1296 MHz,225,4676,
ARM Cortex-A7 4 Core 1300 MHz,343,4497,
ARM Cortex-A7 4 Core 1368 MHz,354,4486,
ARM Cortex-A7 4 Core 900 MHz,229,4672,
ARM Cortex-A72 16 Core 2200 MHz,5470,1789,
ARM Cortex-A72 4 Core 1000 MHz,608,4200,
ARM Cortex-A72 4 Core 1200 MHz,174,4752,
ARM Cortex-A72 4 Core 1416 MHz,927,3837,
ARM Cortex-A72 4 Core 1500 MHz,627,4182,
ARM Cortex-A72 4 Core 1600 MHz,667,4138,
ARM Cortex-A72 4 Core 1700 MHz,577,4239,
ARM Cortex-A72 4 Core 1750 MHz,335,4514,
ARM Cortex-A72 4 Core 1800 MHz,693,4101,
ARM Cortex-A72 4 Core 1850 MHz,199,4707,
ARM Cortex-A72 4 Core 1900 MHz,755,4028,
ARM Cortex-A72 4 Core 2000 MHz,772,4005,
ARM Cortex-A72 4 Core 2016 MHz,2186,2872,
ARM Cortex-A72 4 Core 2100 MHz,674,4129,
ARM Cortex-A72 4 Core 2200 MHz,815,3953,
ARM Cortex-A72 4 Core 2208 MHz,2290,2802,
ARM Cortex-A72 4 Core 2300 MHz,915,3842,
ARM Cortex-A72 4 Core 2394 MHz,1254,3499,
ARM Cortex-A72 4 Core 2400 MHz,1295,3462,
ARM Cortex-A72 4 Core 2800 MHz,314,4548,
ARM Cortex-A72 4 Core 800 MHz,279,4593,
ARM Cortex-A72 6 Core 1008 MHz,734,4056,
ARM Cortex-A72 6 Core 1416 MHz,1065,3689,
ARM Cortex-A72 6 Core 1512 MHz,1183,3569,
ARM Cortex-A73 4 Core 1844 MHz,1368,3414,
ARM Cortex-A73 4 Core 1900 MHz,1547,3280,
ARM Cortex-A73 4 Core 1989 MHz,1820,3097,
ARM Cortex-A73 4 Core 2100 MHz,1185,3566,
ARM Cortex-A73 6 Core 1896 MHz,1242,3510,
ARM Cortex-A73 6 Core 1992 MHz,1311,3451,
ARM Cortex-A73 6 Core 2016 MHz,1445,3354,
ARM Cortex-A76 4 Core 1500 MHz,1488,3326,
ARM Cortex-A76 4 Core 1800 MHz,3139,2388,
ARM Cortex-A76 4 Core 2400 MHz,2148,2895,
ARM Cortex-A76 4 Core 2600 MHz,2320,2784,
ARM Cortex-A76 4 Core 2700 MHz,2375,2755,
ARM Cortex-A76 4 Core 2800 MHz,2460,2699,
ARM Cortex-A76 4 Core 2900 MHz,2465,2696,
ARM Cortex-A76 4 Core 3000 MHz,2550,2654,
ARM Cortex-A76 4 Core 3100 MHz,2610,2621,
ARM Cortex-A76 4 Core 3200 MHz,2579,2640,
ARM Cortex-A76 4 Core 3300 MHz,2493,2684,
ARM Cortex-A76 4 Core 3400 MHz,2580,2637,
ARM Cortex-A76 8 Core 1800 MHz,2792,2535,
ARM Cortex-A78 4 Core 2000 MHz,3016,2438,
ARM Cortex-X1C 4 Core 2438 MHz,6007,1685,
ARM D2000/8 8 Core 2300 MHz,2674,2588,
ARM Falkor V1/Kryo 8 Core 1900 MHz,1652,3203,
ARM Firestorm 4 Core 2064 MHz,7804,1374,
ARM Firestorm 8 Core 2064 MHz,6775,1531,
ARM Firestorm-M1 4 Core 2064 MHz,7798,1376,
ARM Firestorm-M1-Pro 8 Core 2064 MHz,9872,1176,
ARM FT-2000/4 4 Core 2200 MHz,881,3877,
"ARM HUAWEI,Kunpeng 920 24 Core 2600 MHz",9496,1204,
ARM Kryo-3XX-Gold 4 Core 1766 MHz,2222,2852,
ARM Kryo-4XX-Gold 8 Core 1804 MHz,2531,2665,
ARM Kunpeng-920 8 Core 2600 MHz,3910,2110,
ARM Neoverse-N1 128 Core 2800 MHz,43111,184,
ARM Neoverse-N1 128 Core 3000 MHz,43229,183,
ARM Neoverse-N1 32 Core 1700 MHz,11841,1051,
ARM Neoverse-N1 64 Core 0 MHz,28064,361,
ARM Neoverse-N1 64 Core 2200 MHz,20250,637,
ARM Neoverse-N1 80 Core 2600 MHz,18823,696,
ARM Neoverse-N1 80 Core 2800 MHz,11755,1058,
ARM Neoverse-N1 80 Core 3000 MHz,34639,246,
ARM Neoverse-N2 8 Core 2500 MHz,5544,1769,
ARM Neoverse-V2 72 Core 3465 MHz,57369,102,
ARM Neoverse-V2 72 Core 3519 MHz,57240,103,
ARM Phytium D3000 8 Core 2500 MHz,5528,1774,
ARM phytium FT1500a 4 Core 2000 MHz,1579,3252,
"ARM Phytium,D2000/8 8 Core 2000 MHz",2409,2727,
"ARM Phytium,D2000/8 8 Core 2300 MHz",2690,2579,
"ARM Phytium,D2000/8 E8C 8 Core 2300 MHz",2500,2679,
"ARM Phytium,FT-2000/4 8 Core 2300 MHz",2720,2564,
ARM X-Gene 32 Core 3000 MHz,8202,1334,
ARM X-Gene 32 Core 3300 MHz,8684,1276,
ASUS Tinker Board 2/2S,1771,3138,
Athlon 64 Dual Core 3800+,736,4052,
Athlon 64 Dual Core 5000+,850,3910,
Athlon 64 Dual Core 5600+,875,3886,
Athlon Dual Core 4050e,670,4134,
Athlon Dual Core 4450e,681,4121,
Athlon Dual Core 4850e,769,4009,
BCM2711,852,3907,
BCM2712,3236,2343,
BCM2835,1239,3512,
Broadcom STB (Flattened Device Tree),659,4145,
Celeron Dual-Core T3000 @ 1.80GHz,687,4111,
Celeron Dual-Core T3100 @ 1.90GHz,599,4209,18.73
Celeron Dual-Core T3300 @ 2.00GHz,633,4176,42.31
Celeron Dual-Core T3500 @ 2.10GHz,756,4026,
CentaurHauls @2000MHz,6549,1565,
CentaurHauls @2500MHz,8055,1351,
DG1301SML87HY,3624,2202,
DO-Regular,1070,3683,
Dual-Core AMD Opteron 1220 SE,748,4037,
Generic DT based system,632,4178,
Giada JHS558 (Android),2022,2962,
Google GS201,7316,1441,
Google R11 BtWifi Evt1.1,187,4733,
Google Tensor,6727,1539,
Google Tensor G3,8134,1342,
Google Tensor G4,9048,1253,
Grandstream GXV3480 Video Phone,1078,3677,
Hardkernel ODROID-N2Plus,2115,2911,
"Haydn based on Qualcomm Technologies, Inc SM8350",5359,1811,
hi6210sft,796,3974,
High Performance Datacenter v,1610,3224,
HiSilicon Kirin,6669,1548,
HiSilicon Kirin 659,1893,3048,
Hisilicon Kirin 925,1053,3703,
Hisilicon Kirin 930,1415,3379,
Hisilicon Kirin 935,1599,3237,
HiSilicon Kirin 950,2457,2702,
Hisilicon Kirin 955,2936,2478,
HiSilicon Kirin 960,2813,2531,
HiSilicon Kirin 970,2908,2492,
Hisilicon Kirin 990,3965,2097,
Hisilicon Kirin710,2438,2713,
Hisilicon Kirin810,2945,2476,
Hisilicon Kirin820,3893,2118,
Hisilicon Kirin9000,5083,1869,
Hisilicon Kirin970,2681,2586,
Hisilicon Kirin980,4373,2001,
Hisilicon Kirin985,4162,2045,
HP Hexa-Core 2.0GHz,1741,3150,3.45
Hygon C86 3185 8-core,9243,1233,
Hygon C86 3250 8-core,11476,1073,
Hygon C86 3350 8-core,12292,1026,
Hygon C86 7255 16-core,18831,695,
Intel 2.80GHz,341,4499,
Intel 300,7160,1467,87.32
Intel Atom 230 @ 1.60GHz,169,4756,
Intel Atom 330 @ 1.60GHz,363,4475,
Intel Atom C1110,3170,2374,
Intel Atom C2338 @ 1.74GHz,584,4230,
Intel Atom C2350 @ 1.74GHz,520,4310,12.1
Intel Atom C2358 @ 1.74GHz,578,4236,
Intel Atom C2538 @ 2.40GHz,960,3803,9.23
Intel Atom C2550 @ 2.40GHz,1422,3375,
Intel Atom C2558 @ 2.40GHz,1424,3370,10.47
Intel Atom C2750 @ 2.40GHz,2789,2536,12.02
Intel Atom C2750 @ 2.41GHz,2174,2876,
Intel Atom C2758 @ 2.40GHz,2397,2739,11.16
Intel Atom C3338 @ 1.50GHz,1028,3726,
Intel Atom C3508 @ 1.60GHz,1796,3117,20.47
Intel Atom C3538 @ 2.10GHz,1889,3054,25.18
Intel Atom C3558 @ 2.20GHz,2426,2719,28.2
Intel Atom C3758 @ 2.20GHz,4614,1943,23.91
Intel Atom C3758R @ 2.40GHz,5116,1863,22.84
Intel Atom C3858 @ 2.00GHz,4707,1925,14.18
Intel Atom C3958 @ 2.00GHz,3929,2106,8.75
Intel Atom C5125,8631,1281,28.87
Intel Atom D2500 @ 1.86GHz,246,4638,
Intel Atom D2550 @ 1.86GHz,409,4416,
Intel Atom D2560 @ 2.00GHz,433,4385,
Intel Atom D2700 @ 2.13GHz,467,4363,
Intel Atom D2701 @ 2.13GHz,511,4319,
Intel Atom D410 @ 1.66GHz,180,4744,0.28
Intel Atom D425 @ 1.80GHz,204,4703,0.21
Intel Atom D510 @ 1.66GHz,406,4424,4.18
Intel Atom D525 @ 1.80GHz,402,4433,
Intel Atom E3805 @ 1.33GHz,406,4422,20.31
Intel Atom E3815 @ 1.46GHz,184,4734,1.36
Intel Atom E3825 @ 1.33GHz,378,4462,5.37
Intel Atom E3826 @ 1.46GHz,304,4560,
Intel Atom E3827 @ 1.74GHz,463,4368,
Intel Atom E3840 @ 1.91GHz,704,4087,
Intel Atom E3845 @ 1.91GHz,1052,3706,
Intel Atom E3900 @ 1.60GHz,1953,3000,
Intel Atom N2100 @ 1.60GHz,188,4730,
Intel Atom N2600 @ 1.60GHz,360,4479,
Intel Atom N270 @ 1.60GHz,136,4804,
Intel Atom N280 @ 1.66GHz,157,4775,
Intel Atom N2800 @ 1.86GHz,444,4379,
Intel Atom N435 @ 1.33GHz,153,4782,
Intel Atom N450 @ 1.66GHz,203,4705,
Intel Atom N455 @ 1.66GHz,193,4723,
Intel Atom N470 @ 1.83GHz,224,4679,
Intel Atom N475 @ 1.83GHz,179,4746,
Intel Atom N550 @ 1.50GHz,283,4588,3.29
Intel Atom N570 @ 1.66GHz,341,4501,3.96
Intel Atom P5322,7378,1430,20.96
Intel Atom P5342,12291,1027,19.45
Intel Atom P5362,17276,768,24.4
Intel Atom S1260 @ 2.00GHz,526,4305,8.22
Intel Atom T5700 @ 1.70GHz,2363,2762,
Intel Atom x5-E3930 @ 1.30GHz,928,3834,
Intel Atom x5-E3940 @ 1.60GHz,1941,3011,
Intel Atom x5-E8000 @ 1.04GHz,962,3801,
Intel Atom x5-Z8300 @ 1.44GHz,814,3956,6.12
Intel Atom x5-Z8330 @ 1.44GHz,809,3961,
Intel Atom x5-Z8350 @ 1.44GHz,892,3870,42.46
Intel Atom x5-Z8500 @ 1.44GHz,1236,3517,19.75
Intel Atom x5-Z8550 @ 1.44GHz,1156,3598,
Intel Atom x6211E @ 1.20GHz,1695,3176,48.43
Intel Atom x6211E @ 1.30GHz,1833,3089,52.36
Intel Atom x6214RE @ 1.40GHz,1109,3638,23.59
Intel Atom x6413E @ 1.50GHz,3903,2115,90.77
Intel Atom x6414RE @ 1.50GHz,1544,3284,28.07
Intel Atom x6425E @ 2.00GHz,3905,2114,69.72
Intel Atom x6425RE @ 1.90GHz,2990,2451,50.67
Intel Atom x6427FE @ 1.90GHz,3196,2367,38.51
Intel Atom x7-E3950 @ 1.60GHz,2096,2919,
Intel Atom x7-Z8700 @ 1.60GHz,1328,3437,18.03
Intel Atom x7-Z8750 @ 1.60GHz,1289,3468,
Intel Atom x7425E,5570,1762,
Intel Atom x7433RE,4611,1944,
Intel Atom x7835RE,8400,1311,66.14
Intel Atom Z2760 @ 1.80GHz,298,4564,
Intel Atom Z3530 @ 1.33GHz,565,4255,
Intel Atom Z3560 @ 1.00GHz,749,4033,
Intel Atom Z3560 @ 1.83GHz,690,4106,
Intel Atom Z3580 @ 1.33GHz,802,3971,
Intel Atom Z3735D @ 1.33GHz,704,4085,
Intel Atom Z3735E @ 1.33GHz,557,4268,4.76
Intel Atom Z3735F @ 1.33GHz,541,4284,1.08
Intel Atom Z3735G @ 1.33GHz,772,4006,
Intel Atom Z3736F @ 1.33GHz,496,4334,
Intel Atom Z3740 @ 1.33GHz,634,4175,
Intel Atom Z3740D @ 1.33GHz,614,4196,
Intel Atom Z3745 @ 1.33GHz,621,4189,20.72
Intel Atom Z3745D @ 1.33GHz,599,4211,
Intel Atom Z3770 @ 1.46GHz,736,4053,4.93
Intel Atom Z3770D @ 1.49GHz,488,4340,
Intel Atom Z3775 @ 1.46GHz,704,4084,1.41
Intel Atom Z3775D @ 1.49GHz,794,3978,
Intel Atom Z3795 @ 1.60GHz,1188,3562,
Intel Atom Z520 @ 1.33GHz,122,4819,
Intel Atom Z530 @ 1.60GHz,183,4740,
Intel Atom Z670 @ 1.50GHz,158,4772,
Intel CC150 @ 3.50GHz,14459,904,
Intel Celeron 1.70GHz,101,4838,
Intel Celeron 1.80GHz,96,4842,
Intel Celeron 1000M @ 1.80GHz,1070,3684,
Intel Celeron 1000MHz,139,4798,
Intel Celeron 1005M @ 1.90GHz,1106,3642,
Intel Celeron 1007U @ 1.50GHz,837,3933,4.53
Intel Celeron 1017U @ 1.60GHz,893,3868,
Intel Celeron 1019Y @ 1.00GHz,576,4241,
Intel Celeron 1020E @ 2.20GHz,1406,3388,31.26
Intel Celeron 1020M @ 2.10GHz,1275,3478,
Intel Celeron 1037U @ 1.80GHz,998,3764,
Intel Celeron 1047UE @ 1.40GHz,748,4034,
Intel Celeron 1100MHz,113,4832,7.55
Intel Celeron 1200MHz,159,4771,
Intel Celeron 2.00GHz,125,4815,
Intel Celeron 2.13GHz,166,4760,
Intel Celeron 2.20GHz,139,4800,
Intel Celeron 2.26GHz,182,4743,
Intel Celeron 2.30GHz,148,4788,
Intel Celeron 2.40GHz,143,4794,
Intel Celeron 2.50GHz,164,4763,
Intel Celeron 2.53GHz,222,4681,
Intel Celeron 2.60GHz,143,4793,
Intel Celeron 2.66GHz,131,4810,
Intel Celeron 2.70GHz,159,4770,
Intel Celeron 2.80GHz,190,4729,
Intel Celeron 2.93GHz,230,4670,
Intel Celeron 2000E @ 2.20GHz,1607,3230,
Intel Celeron 2002E @ 1.50GHz,1091,3654,12.68
Intel Celeron 215 @ 1.33GHz,174,4753,
Intel Celeron 220 @ 1.20GHz,209,4694,
Intel Celeron 2950M @ 2.00GHz,1234,3518,
Intel Celeron 2955U @ 1.40GHz,877,3884,
Intel Celeron 2957U @ 1.40GHz,858,3899,
Intel Celeron 2961Y @ 1.10GHz,684,4115,
Intel Celeron 2970M @ 2.20GHz,1501,3321,
Intel Celeron 2980U @ 1.60GHz,1056,3700,
Intel Celeron 2981U @ 1.60GHz,1027,3729,
Intel Celeron 3.06GHz,307,4554,
Intel Celeron 3.20GHz,267,4611,
Intel Celeron 3.33GHz,263,4616,
Intel Celeron 3205U @ 1.50GHz,947,3818,3.3
Intel Celeron 3215U @ 1.70GHz,1083,3669,
Intel Celeron 3755U @ 1.70GHz,1182,3571,
Intel Celeron 3765U @ 1.90GHz,1252,3501,
Intel Celeron 3855U @ 1.60GHz,1219,3537,13.66
Intel Celeron 3865U @ 1.80GHz,1321,3445,
Intel Celeron 3867U @ 1.80GHz,1467,3335,13.71
Intel Celeron 3955U @ 2.00GHz,1498,3323,
Intel Celeron 3965U @ 2.20GHz,1732,3155,16.19
Intel Celeron 3965Y @ 1.50GHz,1194,3557,11.16
Intel Celeron 420 @ 1.60GHz,235,4660,3.36
Intel Celeron 4205U @ 1.80GHz,1366,3415,12.77
Intel Celeron 430 @ 1.80GHz,280,4592,8.0
Intel Celeron 4305U @ 2.20GHz,1807,3108,16.89
Intel Celeron 4305UE @ 2.00GHz,1699,3173,
Intel Celeron 440 @ 2.00GHz,368,4471,12.33
Intel Celeron 450 @ 2.20GHz,415,4412,1.39
Intel Celeron 5205U @ 1.90GHz,1427,3365,13.34
Intel Celeron 530 @ 1.73GHz,268,4609,20.62
Intel Celeron 540 @ 1.86GHz,305,4557,14.56
Intel Celeron 550 @ 2.00GHz,334,4516,6.09
Intel Celeron 560 @ 2.13GHz,339,4506,4.84
Intel Celeron 570 @ 2.26GHz,344,4496,
Intel Celeron 6305 @ 1.80GHz,2075,2934,
Intel Celeron 6305E @ 1.80GHz,2008,2971,18.77
Intel Celeron 6600HE @ 2.60GHz,3286,2327,27.85
Intel Celeron 723 @ 1.20GHz,213,4691,
Intel Celeron 7305,2470,2692,23.09
Intel Celeron 7305E,2404,2729,22.46
Intel Celeron 743 @ 1.30GHz,275,4600,
Intel Celeron 807 @ 1.50GHz,392,4448,
Intel Celeron 807UE @ 1.00GHz,241,4649,
Intel Celeron 827E @ 1.40GHz,371,4469,
Intel Celeron 847 @ 1.10GHz,481,4350,1.53
Intel Celeron 847E @ 1.10GHz,584,4229,
Intel Celeron 857 @ 1.20GHz,569,4249,
Intel Celeron 867 @ 1.30GHz,562,4262,10.08
Intel Celeron 877 @ 1.40GHz,692,4103,
Intel Celeron 887 @ 1.50GHz,754,4030,
Intel Celeron 900 @ 2.20GHz,406,4420,21.39
Intel Celeron 925 @ 2.30GHz,477,4353,
Intel Celeron @ 1.30GHz,572,4243,
Intel Celeron B710 @ 1.60GHz,106,4835,
Intel Celeron B800 @ 1.50GHz,657,4148,24.35
Intel Celeron B810 @ 1.60GHz,775,4002,28.7
Intel Celeron B815 @ 1.60GHz,731,4058,27.07
Intel Celeron B820 @ 1.70GHz,811,3958,27.7
Intel Celeron B830 @ 1.80GHz,863,3897,17.25
Intel Celeron B840 @ 1.90GHz,967,3798,
Intel Celeron D 347 @ 3.06GHz,232,4666,
Intel Celeron D 352 @ 3.20GHz,274,4604,
Intel Celeron D 356 @ 3.33GHz,251,4633,
Intel Celeron D 360 @ 3.46GHz,372,4468,
Intel Celeron D 420 @ 1.60GHz,313,4549,
Intel Celeron E1200 @ 1.60GHz,516,4314,5.21
Intel Celeron E1400 @ 2.00GHz,735,4055,52.5
Intel Celeron E1500 @ 2.20GHz,626,4184,31.86
Intel Celeron E1600 @ 2.40GHz,840,3928,
Intel Celeron E3200 @ 2.40GHz,839,3930,41.96
Intel Celeron E3300 @ 2.50GHz,795,3977,12.86
Intel Celeron E3400 @ 2.60GHz,869,3891,45.79
Intel Celeron E3500 @ 2.70GHz,935,3826,62.4
Intel Celeron G1101 @ 2.27GHz,1086,3663,54.92
Intel Celeron G1610 @ 2.60GHz,1518,3305,41.03
Intel Celeron G1610T @ 2.30GHz,1327,3438,88.59
Intel Celeron G1620 @ 2.70GHz,1560,3268,31.84
Intel Celeron G1620T @ 2.40GHz,1541,3286,36.69
Intel Celeron G1630 @ 2.80GHz,1707,3167,24.39
Intel Celeron G1820 @ 2.70GHz,1715,3161,36.96
Intel Celeron G1820T @ 2.40GHz,1631,3214,38.84
Intel Celeron G1820TE @ 2.20GHz,1020,3737,
Intel Celeron G1830 @ 2.80GHz,1560,3267,24.0
Intel Celeron G1840 @ 2.80GHz,1778,3132,15.09
Intel Celeron G1840T @ 2.50GHz,1576,3255,
Intel Celeron G1850 @ 2.90GHz,1900,3044,32.21
Intel Celeron G3900 @ 2.80GHz,2165,2883,135.49
Intel Celeron G3900E @ 2.40GHz,2034,2955,19.01
Intel Celeron G3900T @ 2.60GHz,2020,2964,17.96
Intel Celeron G3900TE @ 2.30GHz,1850,3074,44.1
Intel Celeron G3920 @ 2.90GHz,2358,2764,2.18
Intel Celeron G3930 @ 2.90GHz,2249,2828,39.2
Intel Celeron G3930T @ 2.70GHz,2040,2953,61.84
Intel Celeron G3930TE @ 2.70GHz,2218,2853,52.82
Intel Celeron G3950 @ 3.00GHz,2322,2782,16.24
Intel Celeron G440 @ 1.60GHz,425,4395,1.66
Intel Celeron G460 @ 1.80GHz,469,4360,9.38
Intel Celeron G465 @ 1.90GHz,547,4283,13.69
Intel Celeron G470 @ 2.00GHz,570,4248,16.2
Intel Celeron G4900 @ 3.10GHz,2394,2741,35.19
Intel Celeron G4900T @ 2.90GHz,2239,2837,37.35
Intel Celeron G4920 @ 3.20GHz,2500,2678,27.81
Intel Celeron G4930 @ 3.20GHz,2591,2628,52.87
Intel Celeron G4930T @ 3.00GHz,2297,2799,54.68
Intel Celeron G4950 @ 3.30GHz,2714,2568,43.0
Intel Celeron G530 @ 2.40GHz,1123,3626,56.16
Intel Celeron G530T @ 2.00GHz,1056,3699,62.15
Intel Celeron G540 @ 2.50GHz,1181,3573,107.05
Intel Celeron G540T @ 2.10GHz,1137,3617,
Intel Celeron G550 @ 2.60GHz,1259,3494,25.7
Intel Celeron G550T @ 2.20GHz,1074,3679,
Intel Celeron G555 @ 2.70GHz,1388,3399,18.5
Intel Celeron G5900 @ 3.40GHz,2643,2603,52.87
Intel Celeron G5900T @ 3.20GHz,2155,2889,51.3
Intel Celeron G5905 @ 3.50GHz,2785,2538,71.42
Intel Celeron G5905T @ 3.30GHz,2206,2857,52.52
Intel Celeron G5920 @ 3.50GHz,2577,2641,64.51
Intel Celeron G5925 @ 3.60GHz,2849,2520,63.32
Intel Celeron G6900,4550,1952,113.77
Intel Celeron G6900T,4003,2089,95.32
Intel Celeron G6900TE,2373,2758,
Intel Celeron J1750 @ 2.41GHz,595,4214,
Intel Celeron J1800 @ 2.41GHz,572,4244,
Intel Celeron J1850 @ 1.99GHz,942,3823,
Intel Celeron J1900 @ 1.99GHz,1152,3604,
Intel Celeron J3060 @ 1.60GHz,679,4125,
Intel Celeron J3160 @ 1.60GHz,1266,3489,
Intel Celeron J3355 @ 2.00GHz,1197,3554,
Intel Celeron J3455 @ 1.50GHz,2254,2825,6.46
Intel Celeron J3455E @ 1.50GHz,2193,2864,
Intel Celeron J4005 @ 2.00GHz,1550,3275,9.19
Intel Celeron J4025 @ 2.00GHz,1467,3334,
Intel Celeron J4105 @ 1.50GHz,2908,2491,27.17
Intel Celeron J4115 @ 1.80GHz,2687,2581,
Intel Celeron J4125 @ 2.00GHz,2956,2470,
Intel Celeron J6412 @ 2.00GHz,3870,2125,71.66
Intel Celeron J6413 @ 1.80GHz,4349,2008,
Intel Celeron M 1.00GHz,149,4787,10.65
Intel Celeron M 1.30GHz,205,4699,
Intel Celeron M 1.50GHz,192,4725,
Intel Celeron M 1.60GHz,190,4728,
Intel Celeron M 1.70GHz,252,4630,
Intel Celeron M 1300MHz,197,4711,
Intel Celeron M 1500MHz,217,4686,
Intel Celeron M 360 1.40GHz,221,4683,
Intel Celeron M 410 @ 1.46GHz,123,4817,
Intel Celeron M 420 @ 1.60GHz,139,4799,
Intel Celeron M 430 @ 1.73GHz,169,4757,
Intel Celeron M 440 @ 1.86GHz,169,4755,
Intel Celeron M 443 @ 1.20GHz,125,4814,
Intel Celeron M 450 @ 2.00GHz,230,4671,
Intel Celeron M 520 @ 1.60GHz,239,4652,
Intel Celeron M 530 @ 1.73GHz,302,4561,
Intel Celeron M 723 @ 1.20GHz,267,4612,
Intel Celeron M 900MHz,123,4818,
Intel Celeron N2805 @ 1.46GHz,335,4515,
Intel Celeron N2806 @ 1.60GHz,489,4339,
Intel Celeron N2807 @ 1.58GHz,486,4344,
Intel Celeron N2808 @ 1.58GHz,510,4321,
Intel Celeron N2810 @ 2.00GHz,420,4403,3.0
